Micropterix_aruncella	MicArun
Neomicropteryx_cornuta	NeoCorne
Incurvaria_masculella	IncMasc
Nematopogon_swammerdamellus	NemSwam
Tinea_semifulvella	TinSemi
Tinea_trinotella	TinTrin
Yponomeuta_sedellus	YpoSede
Plutella_xylostella	PluXylo
Ypsolopha_scabrella	YpsScab
Ypsolopha_sequella	YpsSequ
Pandemis_cinnamomeana	PanCinn
Acleris_emargana	AclEmar
Acleris_literana	AclLite
Acleris_sparsana	AclSpar
Eudemis_profundana	EudProf
Hedya_salicella	HedSali
Apotomis_betuletana	ApoBetu
Apotomis_turbidana	ApoTurb
Cydia_splendana	CydSple
Pammene_aurita	PamAuri
Pammene_fasciana	PamFasc
Notocelia_uddmanniana	NotUddm
Epinotia_nisella	EpiNise
Epinotia_bilunana	EpiBilu
Epinotia_demarniana	EpiDema
Apoda_limacodes	ApoLima
Zygaena_filipendulae	ZygFili
Zeuzera_pyrina	ZeuPyri
Sesia_apiformis	SesApif
Sesia_bembeciformis	SesBemb
Bembecia_ichneumoniformis	BemIchn
Synanthedon_andrenaeformis	SynAndr
Synanthedon_myopaeformis	SynMyop
Synanthedon_formicaeformis	SynForm
Synanthedon_vespiformis	SynVesp
Emmelina_monodactyla	EmmMono
Marasmarcha_lunaedactyla	MarLuna
Stenoptilia_bipunctidactyla	SteBipu
Papilio_machaon	PapMach
Erynnis_tages	EryTage
Pyrgus_malvae	PyrMalv
Carterocephalus_palaemon	CarPala
Thymelicus_sylvestris	ThySylv
Hesperia_comma	HesComm
Ochlodes_sylvanus	OchSylv
Leptidea_sinapis	LepSina
Colias_croceus	ColCroc
Anthocharis_cardamines	AntCard
Aporia_crataegi	ApoCrat
Pieris_rapae	PieRapa
Pieris_brassicae	PieBras
Pieris_napi	PieNapi
Lycaena_phlaeas	LycPhla
Celastrina_argiolus	CelArgi
Glaucopsyche_alexis	GlaAlex
Plebejus_argus	PleArgu
Cyaniris_semiargus	CyaSemi
Aricia_agestis	AriAges
Aricia_artaxerxes	AriArta
Polyommatus_icarus	PolIcar
Lysandra_bellargus	LysBell
Lysandra_coridon	LysCori
Bicyclus_anynana	BicAnyn
Lasiommata_megera	LasMege
Pararge_aegeria	ParAege
Hipparchia_semele	HipSeme
Melanargia_galathea	MelGala
Aphantopus_hyperantus	AphHype
Maniola_jurtina	ManJurt
Erebia_aethiops	EreAeth
Erebia_ligea	EreLige
Limenitis_camilla	LimCami
Boloria_selene	BolSele
Fabriciana_adippe	FabAdip
Mellicta_athalia	MelAtha
Melitaea_cinxia	MelCinx
Vanessa_atalanta	VanAtal
Vanessa_cardui	VanCard
Nymphalis_polychloros	NymPoly
Inachis_io	AglIo
Nymphalis_urticae	AglUrti
Agonopterix_subpropinquella	AgoSubp
Carcina_quercana	CarQuer
Hyposmocoma_kahamanoa	HypKaha
Coleophora_flavipennella	ColFlav
Esperia_sulphurella	EspSulp
Blastobasis_adustella	BlaAdus
Blastobasis_lacticolella	BlaLact
Acrobasis_suavella	AcrSuav
