Molecule	gene	start	end	strand	direction	from	to
MegAlbu	HMG_box	1	5	Forward	1	NA	NA
MegAlbu	Cyclin	6	10	Forward	1	NA	NA
MegAlbu	Metallophos	11	15	Forward	1	NA	NA
MegAlbu	hypothetical	16	20	Forward	1	NA	NA
MegAlbu	hypothetical	21	25	Forward	1	NA	NA
MegAlbu	RabGAP-TBC_gene	26	30	Forward	1	NA	NA
MegAlbu	hypothetical	31	35	Forward	1	NA	NA
MegAlbu	Kiaa	36	40	Forward	1	NA	NA
MegAlbu	Fis1_TPR	41	45	Forward	1	NA	NA
OrgAnti	Cyclin	1	5	Forward	1	NA	NA
OrgAnti	Metallophos	6	10	Forward	1	NA	NA
OrgAnti	Cyclin	11	15	Forward	1	NA	NA
OrgAnti	RabGAP-TBC_gene	16	20	Forward	1	17	18
OrgAnti	hypothetical	21	25	Forward	1	NA	NA
OrgAnti	Kiaa	26	30	Forward	1	NA	NA
OrgAnti	Fis1_TPR	31	35	Forward	1	NA	NA
LymMona	HMG_box	1	5	Forward	1	NA	NA
LymMona	Cyclin	6	10	Forward	1	NA	NA
LymMona	Metallophos	11	15	Forward	1	NA	NA
LymMona	RabGAP-TBC_gene	16	20	Forward	1	17	18
LymMona	hypothetical	21	25	Forward	1	NA	NA
LymMona	Kiaa	26	30	Forward	1	NA	NA
LymMona	Fis1_TPR	31	35	Forward	1	NA	NA
HecDyso	Cyclin	1	5	Forward	1	NA	NA
HecDyso	Metallophos	6	10	Forward	1	NA	NA
HecDyso	RabGAP-TBC_gene	11	15	Forward	1	NA	NA
HecDyso	hypothetical	16	20	Forward	1	NA	NA
HecDyso	Kiaa	21	25	Forward	1	NA	NA
HecDyso	Fis1_TPR	26	30	Forward	1	NA	NA
AutGamm	HMG_box	1	5	Forward	1	NA	NA
AutGamm	Cyclin	6	10	Forward	1	NA	NA
AutGamm	Metallophos	11	15	Forward	1	NA	NA
AutGamm	RabGAP-TBC_gene	16	20	Forward	1	NA	NA
AutGamm	hypothetical	21	25	Forward	1	NA	NA
AutGamm	Kiaa	26	30	Forward	1	NA	NA
AutGamm	Fis1_TPR	31	35	Forward	1	NA	NA
