family	tree	model	w_t0	lnl	params	positive_selection	neb_sites	beb_sites	path
lep_LWS_nucl_trim_aln	lep_LWS_nucl_trim_aln	m0	1	-69595.062679	w=0.04769	no			codeml/lep_LWS_nucl_trim_aln/lep_LWS_nucl_trim_aln/m0/Omega1/out
lep_LWS_nucl_trim_aln	lep_LWS_nucl_trim_aln	m1Neutral	1	-69105.40313	p0=0.97078 p1=0.02922 w0=0.04081 w1=1.0	no			codeml/lep_LWS_nucl_trim_aln/lep_LWS_nucl_trim_aln/m1Neutral/Omega1/out
lep_LWS_nucl_trim_aln	lep_LWS_nucl_trim_aln	m2Selection	1	-69105.40313	p0=0.97078 p1=0.01164 p2=0.01758 w0=0.04081 w1=1.0 w2=1.0	no			codeml/lep_LWS_nucl_trim_aln/lep_LWS_nucl_trim_aln/m2Selection/Omega1/out
lep_LWS_nucl_trim_aln	lep_LWS_nucl_trim_aln	m3Discrtk2	0	-67620.624223	p0=0.71846 p1=0.28154 w0=0.00886 w1=0.15667	no			codeml/lep_LWS_nucl_trim_aln/lep_LWS_nucl_trim_aln/m3Discrtk2/Omega0/out
lep_LWS_nucl_trim_aln	lep_LWS_nucl_trim_aln	m3Discrtk3	2	-67314.772024	p0=0.57439 p1=0.27263 p2=0.15298 w0=0.00267 w1=0.05648 w2=0.22325	no			codeml/lep_LWS_nucl_trim_aln/lep_LWS_nucl_trim_aln/m3Discrtk3/Omega2/out
lep_LWS_nucl_trim_aln	lep_LWS_nucl_trim_aln	m7	1	-67200.175647	p=0.22262 q=2.58925	no			codeml/lep_LWS_nucl_trim_aln/lep_LWS_nucl_trim_aln/m7/Omega1/out
lep_LWS_nucl_trim_aln	lep_LWS_nucl_trim_aln	m8	1	-67175.403005	p0=0.99474 p=0.25880 q=3.90225 p1=0.00526 w=1.00000	no			codeml/lep_LWS_nucl_trim_aln/lep_LWS_nucl_trim_aln/m8/Omega1/out
lep_LWS_nucl_trim_aln	lep_LWS_nucl_trim_aln	m8a	1	-67175.403005	p0=0.99474 p=0.25880 q=3.90228 p1=0.00526 w=1.00000	no			codeml/lep_LWS_nucl_trim_aln/lep_LWS_nucl_trim_aln/m8a/Omega1/out
lep_LWS_nucl_trim_aln	lep_LWS_nucl_trim_aln_sesiidae	modelA	1	-69098.076807	p0=0.93338 p1=0.02777 p2=0.03772 p3=0.00112 w0=0.04061 w1=1.0 w2=2.30228	yes	21A:0.639 63T:0.963 108A:0.952 359S:0.986	21A:0.6 63T:0.943 108A:0.937 359S:0.984	codeml/lep_LWS_nucl_trim_aln/lep_LWS_nucl_trim_aln_sesiidae/modelA/Omega1/out
lep_LWS_nucl_trim_aln	lep_LWS_nucl_trim_aln_papilionoidea	modelA	1	-69090.306488	p0=0.87633 p1=0.0258 p2=0.09507 p3=0.0028 w0=0.04053 w1=1.0 w2=31.73345	yes	21A:0.975 41L:0.98 42I:0.967 108A:0.999 113P:0.816 120Y:0.977 143V:0.994 170V:0.973 189L:0.965 192I:0.993 212L:0.663 310T:0.977 323V:0.977 355A:0.954 358P:0.977 361E:0.656 379S:0.977	21A:0.972 41L:0.976 42I:0.969 108A:0.994 113P:0.811 120Y:0.975 143V:0.984 170V:0.973 189L:0.953 192I:0.984 235A:0.506 310T:0.975 323V:0.974 355A:0.945 358P:0.976 361E:0.692 379S:0.975	codeml/lep_LWS_nucl_trim_aln/lep_LWS_nucl_trim_aln_papilionoidea/modelA/Omega1/out
lep_LWS_nucl_trim_aln	lep_LWS_nucl_trim_aln_EucMixx	modelA	1	-69100.062957	p0=0.95162 p1=0.02857 p2=0.01923 p3=0.00058 w0=0.04067 w1=1.0 w2=2.98005	yes	112P:0.978 311A:0.96 374T:0.622	112P:0.974 311A:0.957 374T:0.668	codeml/lep_LWS_nucl_trim_aln/lep_LWS_nucl_trim_aln_EucMixx/modelA/Omega1/out
lep_LWS_nucl_trim_aln	lep_LWS_nucl_trim_aln_ZygFili	modelA	1	-69098.324509	p0=0.92941 p1=0.02795 p2=0.0414 p3=0.00124 w0=0.04056 w1=1.0 w2=1.19221	yes	4S:0.897 63T:0.89 192I:0.884 229C:0.947 373C:0.938	4S:0.866 63T:0.833 192I:0.84 229C:0.955 373C:0.932	codeml/lep_LWS_nucl_trim_aln/lep_LWS_nucl_trim_aln_ZygFili/modelA/Omega1/out
lep_LWS_nucl_trim_aln	lep_LWS_nucl_trim_aln_IncMasc	modelA	1	-69097.875581	p0=0.93178 p1=0.02825 p2=0.03879 p3=0.00118 w0=0.04057 w1=1.0 w2=1.61953	yes	16T:0.967 28Q:0.576 63T:0.952 186A:0.94 349Q:0.95	16T:0.966 28Q:0.563 63T:0.936 186A:0.92 349Q:0.928	codeml/lep_LWS_nucl_trim_aln/lep_LWS_nucl_trim_aln_IncMasc/modelA/Omega1/out
lep_LWS_nucl_trim_aln	lep_LWS_nucl_trim_aln_NemSwae	modelA	1	-69099.104137	p0=0.95515 p1=0.02856 p2=0.01582 p3=0.00047 w0=0.04068 w1=1.0 w2=6.94287	yes	345A:0.983 358P:0.964 372A:0.892	1M:0.523 345A:0.981 358P:0.967 372A:0.913	codeml/lep_LWS_nucl_trim_aln/lep_LWS_nucl_trim_aln_NemSwae/modelA/Omega1/out
lep_LWS_nucl_trim_aln	lep_LWS_nucl_trim_aln_ZygFili	modelAnull	1	-69098.355667	p0=0.92425 p1=0.02778 p2=0.04657 p3=0.0014 w0=0.04055 w1=1.0 w2=1.0	no			codeml/lep_LWS_nucl_trim_aln/lep_LWS_nucl_trim_aln_ZygFili/modelAnull/Omega1/out
lep_LWS_nucl_trim_aln	lep_LWS_nucl_trim_aln_papilionoidea	modelAnull	1	-69092.378063	p0=0.5627 p1=0.01659 p2=0.40866 p3=0.01205 w0=0.04056 w1=1.0 w2=1.0	no			codeml/lep_LWS_nucl_trim_aln/lep_LWS_nucl_trim_aln_papilionoidea/modelAnull/Omega1/out
lep_LWS_nucl_trim_aln	lep_LWS_nucl_trim_aln_IncMasc	modelAnull	1	-69098.04567	p0=0.91586 p1=0.0278 p2=0.05468 p3=0.00166 w0=0.04054 w1=1.0 w2=1.0	no			codeml/lep_LWS_nucl_trim_aln/lep_LWS_nucl_trim_aln_IncMasc/modelAnull/Omega1/out
lep_LWS_nucl_trim_aln	lep_LWS_nucl_trim_aln_sesiidae	modelAnull	1	-69098.567383	p0=0.90638 p1=0.02688 p2=0.06482 p3=0.00192 w0=0.04059 w1=1.0 w2=1.0	no			codeml/lep_LWS_nucl_trim_aln/lep_LWS_nucl_trim_aln_sesiidae/modelAnull/Omega1/out
lep_LWS_nucl_trim_aln	lep_LWS_nucl_trim_aln_EucMixx	modelAnull	1	-69100.740651	p0=0.92944 p1=0.02788 p2=0.04144 p3=0.00124 w0=0.04065 w1=1.0 w2=1.0	no			codeml/lep_LWS_nucl_trim_aln/lep_LWS_nucl_trim_aln_EucMixx/modelAnull/Omega1/out
lep_LWS_nucl_trim_aln	lep_LWS_nucl_trim_aln_NemSwae	modelAnull	1	-69101.186517	p0=0.93989 p1=0.02813 p2=0.03105 p3=0.00093 w0=0.04065 w1=1.0 w2=1.0	no			codeml/lep_LWS_nucl_trim_aln/lep_LWS_nucl_trim_aln_NemSwae/modelAnull/Omega1/out
