Molecule	gene	start	end	strand	direction	from	to
MegAlbu	zf_Hakai_gene	1	5	Forward	1	NA	NA
MegAlbu	YjeF_PCNA_gene	6	10	Forward	1	NA	NA
MegAlbu	PCNA_gene	11	15	Forward	1	NA	NA
MegAlbu	INTS5	16	20	Forward	1	NA	NA
MegAlbu	ATP_bind_1_gene	21	25	Forward	1	NA	NA
MegAlbu	LWS2	26	30	Forward	1	NA	NA
MegAlbu	MFS_1	31	35	Forward	1	NA	NA
OrgAnti	zf_Hakai_gene	1	5	Forward	1	NA	NA
OrgAnti	YjeF_PCNA_gene	6	10	Forward	1	NA	NA
OrgAnti	PCNA_gene	11	15	Forward	1	NA	NA
OrgAnti	INTS5	16	20	Forward	1	NA	NA
OrgAnti	ATP_bind_1_gene	21	25	Forward	1	NA	NA
OrgAnti	LWS2	26	30	Forward	1	NA	NA
OrgAnti	hypothetical	31	35	Forward	1	NA	NA
OrgAnti	hypothetical	36	40	Forward	1	NA	NA
OrgAnti	MFS_1	41	45	Forward	1	NA	NA
OrgAnti	MFS_1	46	50	Forward	1	NA	NA
LymMona	zf_Hakai_gene	1	5	Forward	1	NA	NA
LymMona	YjeF_PCNA_gene	6	10	Forward	1	NA	NA
LymMona	PCNA_gene	11	15	Forward	1	NA	NA
LymMona	INTS5	16	20	Forward	1	NA	NA
LymMona	ATP_bind_1_gene	21	25	Forward	1	NA	NA
LymMona	LWS2	26	30	Forward	1	NA	NA
LymMona	MFS_1	31	35	Forward	1	NA	NA
LymMona	MFS_1	36	40	Forward	1	NA	NA
HecDyso	zf_Hakai_gene	1	5	Forward	1	NA	NA
HecDyso	YjeF_PCNA_gene	6	10	Forward	1	NA	NA
HecDyso	PCNA_gene	11	15	Forward	1	NA	NA
HecDyso	INTS5	16	20	Forward	1	NA	NA
HecDyso	Septin	21	25	Forward	1	NA	NA
HecDyso	ATP_bind_1_gene	26	30	Forward	1	NA	NA
HecDyso	LWS2	31	35	Forward	1	NA	NA
HecDyso	MFS_1	36	40	Forward	1	NA	NA
HecDyso	MFS_1	41	45	Forward	1	NA	NA
AutGamm	zf_Hakai_gene	1	5	Forward	1	NA	NA
AutGamm	YjeF_PCNA_gene	6	10	Forward	1	NA	NA
AutGamm	PCNA_gene	11	15	Forward	1	NA	NA
AutGamm	ATP_bind_1_gene	16	20	Forward	1	NA	NA
AutGamm	LWS2	21	25	Forward	1	NA	NA
AutGamm	MFS_1	26	30	Forward	1	NA	NA
AutGamm	MFS_1	31	35	Forward	1	NA	NA
