family	tree	model	w_t0	lnl	params	positive_selection	neb_sites	beb_sites	path
lep_blue_nucl_aln_trim	lep_blue_nucl_aln_trim	m0	0	-74572.195048	w=0.04472	no			codeml/lep_blue_nucl_aln_trim/lep_blue_nucl_aln_trim/m0/Omega0/out
lep_blue_nucl_aln_trim	lep_blue_nucl_aln_trim	m1Neutral	1	-74022.753677	p0=0.95866 p1=0.04134 w0=0.03912 w1=1.0	no			codeml/lep_blue_nucl_aln_trim/lep_blue_nucl_aln_trim/m1Neutral/Omega1/out
lep_blue_nucl_aln_trim	lep_blue_nucl_aln_trim	m2Selection	1	-74022.753677	p0=0.95866 p1=0.02385 p2=0.01749 w0=0.03912 w1=1.0 w2=1.0	no			codeml/lep_blue_nucl_aln_trim/lep_blue_nucl_aln_trim/m2Selection/Omega1/out
lep_blue_nucl_aln_trim	lep_blue_nucl_aln_trim	m3Discrtk2	0	-72081.192724	p0=0.69565 p1=0.30435 w0=0.00855 w1=0.13907	no			codeml/lep_blue_nucl_aln_trim/lep_blue_nucl_aln_trim/m3Discrtk2/Omega0/out
lep_blue_nucl_aln_trim	lep_blue_nucl_aln_trim	m3Discrtk3	0	-71735.244734	p0=0.53213 p1=0.27667 p2=0.1912 w0=0.00275 w1=0.0444 w2=0.18628	no			codeml/lep_blue_nucl_aln_trim/lep_blue_nucl_aln_trim/m3Discrtk3/Omega0/out
lep_blue_nucl_aln_trim	lep_blue_nucl_aln_trim	m7	1	-71523.946903	p=0.25820 q=3.49199	no			codeml/lep_blue_nucl_aln_trim/lep_blue_nucl_aln_trim/m7/Omega1/out
lep_blue_nucl_aln_trim	lep_blue_nucl_aln_trim	m8	1	-71523.950673	p0=0.99999 p=0.25820 q=3.49197 p1=0.00001 w=1.00000	no			codeml/lep_blue_nucl_aln_trim/lep_blue_nucl_aln_trim/m8/Omega1/out
lep_blue_nucl_aln_trim	lep_blue_nucl_aln_trim	m8a	1	-71523.950673	p0=0.99999 p=0.25820 q=3.49192 p1=0.00001 w=1.00000	no			codeml/lep_blue_nucl_aln_trim/lep_blue_nucl_aln_trim/m8a/Omega1/out
lep_blue_nucl_aln_trim	lep_blue_nucl_aln_trim_sesiidae	modelA	1	-74014.296878	p0=0.90217 p1=0.03928 p2=0.05612 p3=0.00244 w0=0.0389 w1=1.0 w2=1.79041	yes	14Y:0.984 20S:0.576 71C:0.981 89A:0.522 106I:0.549 131A:0.559 190K:0.531 250K:0.558 347Q:0.987 350L:0.507 368S:0.598 371Q:0.587 373Q:0.552	14Y:0.979 71C:0.971 347Q:0.987	codeml/lep_blue_nucl_aln_trim/lep_blue_nucl_aln_trim_sesiidae/modelA/Omega1/out
lep_blue_nucl_aln_trim	lep_blue_nucl_aln_trim_NemSwae	modelA	1	-74012.026004	p0=0.92219 p1=0.04027 p2=0.03598 p3=0.00157 w0=0.0389 w1=1.0 w2=224.14649	yes	6S:0.533 10R:0.955 34S:0.891 46N:0.97 85S:0.657 125V:0.952 141A:0.507 239S:0.602 257K:0.992 291V:0.582 344A:0.605 369T:0.761 371Q:0.577 373Q:0.603	10R:0.919 34S:0.755 46N:0.957 85S:0.602 125V:0.937 257K:0.982 369T:0.727	codeml/lep_blue_nucl_aln_trim/lep_blue_nucl_aln_trim_NemSwae/modelA/Omega1/out
